学生No,ソフトウェア工学,パターン認識,画像情報処理,電気電子回路,プログラミング言語論,機械学習論,ウェブインテリジェンス,マルチエージェントシステム,言語処理工学,音声情報処理,分散システム論,知識システム,知能ロボット制御論,メディアセンシング,生命・応用化学科の展開科目,物理工学科の展開科目,電気電子分野の展開科目,機械工学分野の展開科目,建築・デザイン分野の展開科目,環境都市分野の展開科目,経営システム分野の展開科目,所属分野
20,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,メディア情報
21,0,1,1,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,知能情報
22,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,メディア情報
23,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,メディア情報
24,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,メディア情報
25,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,メディア情報
26,1,1,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,知能情報
27,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,知能情報
28,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,メディア情報
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,材料機能
30,0,0,1,0,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,知能情報
31,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,知能情報
32,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,メディア情報
33,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,メディア情報
34,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,ネットワーク
35,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,ネットワーク
36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,材料機能
37,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,知能情報
38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,メディア情報
39,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,メディア情報
40,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,応用物理
41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,材料機能
